kmem:mm_page_alloc_zone_locked,ext4:ext4_evict_inode,block:block_dirty_buffer,L1-icache-load-misses,drop_in,cpu-migrations,context-switches,block:block_split,branch-loads,armv7_cortex_a7/l1d_cache_refill/,ext4:ext4_unlink_enter,err_out,gpio:gpio_value,LLC-loads,write_merge,dTLB-store-misses,err_in,ext4:ext4_es_lookup_extent_enter,random:credit_entropy_bits,read_merge,sched:sched_stat_runtime,instructions,armv7_cortex_a7/l1i_tlb_refill/,irq:softirq_exit,pkt_out,L1-icache-loads,jbd2:jbd2_handle_stats,armv7_cortex_a7/exc_return/,cpu-cycles,armv7_cortex_a7/pc_write_retired/,armv7_cortex_a7/l2d_cache/,branch-load-misses,napi:napi_poll,ioreadbytes,filemap:mm_filemap_add_to_page_cache,drop_out,armv7_cortex_a7/br_mis_pred/,branch-misses,timer:timer_init,ext4:ext4_writepages_result,L1-dcache-store-misses,timer:timer_cancel,timer:tick_stop,L1-dcache-stores,ioreadtime,kmem:kmem_cache_alloc,sched:sched_waking,cache-references,net:netif_rx,timer:timer_start,armv7_cortex_a7/l2d_cache_wb/,page-faults,armv7_cortex_a7/exc_taken/,branch-instructions,seconds,block:block_bio_frontmerge,tcp:tcp_probe,armv7_cortex_a7/br_immed_retired/,filemap:mm_filemap_delete_from_page_cache,L1-dcache-loads,armv7_cortex_a7/cpu_cycles/,kmem:mm_page_free,mmc:mmc_request_done,armv7_cortex_a7/l1i_cache/,kmem:kfree,ext4:ext4_journal_start,writeback:wait_on_page_writeback,cache-misses,iobusytime,armv7_cortex_a7/l1d_cache_wb/,ext4:ext4_releasepage,iTLB-load-misses,rpm:rpm_return_int,ext4:ext4_da_update_reserve_space,LLC-load-misses,sched:sched_process_exec,jbd2:jbd2_checkpoint_stats,pagemap:mm_lru_activate,armv7_cortex_a7/st_retired/,ext4:ext4_free_inode,block:block_touch_buffer,armv7_cortex_a7/ld_retired/,time,workqueue:workqueue_execute_start,ext4:ext4_sync_file_enter,net_out,memory,minor-faults,armv7_cortex_a7/cid_write_retired/,armv7_cortex_a7/l1i_cache_refill/,writeback:global_dirty_state,armv7_cortex_a7/l1d_cache/,LLC-store-misses,iowritebytes,ext4:ext4_ext_load_extent,raw_syscalls:sys_enter,cpu,armv7_cortex_a7/inst_retired/,dTLB-load-misses,writeback:sb_clear_inode_writeback,fib:fib_table_lookup,bus-cycles,armv7_cortex_a7/l1d_tlb_refill/,LLC-stores,task:task_newtask,iowritetime,armv7_cortex_a7/br_pred/,iowrite,armv7_cortex_a7/bus_cycles/,pkt_in,net_in,armv7_cortex_a7/mem_access/,ioread,block:block_bio_remap,L1-dcache-load-misses,armv7_cortex_a7/unaligned_ldst_retired/
5362,0,1150,297467325,0,33,542807,0,1423475036,69977468,0,0,324,475584099,10,206092,0,964,160,30,9726308977,10123265214,128258,7306,243,7671155480,1429,827019,15918560023,895055692,455479285,107034802,135,2868224,733,0,101562220,108441744,256,0,72018164,2218,103184,4669220065,231,13614,388943,4756227051,147,2222,820603,8044,643956,910620550,5.009652054,1,139,1016458472,0,4709365286,14901474683,4397,1437,7366393802,26804,1429,0,71138025,680,74261361,0,129521,1470,0,9076615,18,0,532,1103640809,0,636,2194755441,1626637556,1121,0,208417,18.1,8041,15772,303795115,6,4484264700,9576839,49152,1,413653,50.3,9445089706,194513,0,9,7942063495,246262,471452485,20,8,1368172239,2,7819395960,217,20284,4627260589,163,191,70609761,1619586
3783,0,1678,313865544,0,40,596430,0,1399135724,69950322,0,0,1561,493069411,255,795033,0,5656,165,663,8990837628,8435211220,423810,9768,218,6791838183,2576,932357,14626310962,873120094,473836429,105057740,102,11673600,1892,0,103385140,101360493,372,0,74811912,2765,106415,4182231207,1435,30430,411400,4165939728,104,2770,881466,3307,713569,865643555,5.009593736,24,97,978079661,0,4171518365,15073150460,1579,1936,6760553759,31534,2576,0,65818743,5840,74515711,0,463275,3767,0,9087798,13,0,151,1003809941,0,6040,1889958507,1626637566,3459,0,196953,18.9,3307,2211,320435206,8,4242841582,9889534,1104896,2,440821,49.7,8562114654,823888,1,14,7294351450,740777,488531623,17,222,1371686617,17,7310367196,192,10413,4268457169,1112,1462,67785663,1257496
1543,0,1962,320194890,0,49,575643,0,1365952262,64756118,0,0,1028,460810552,291,182737,0,4292,164,179,8813048072,8318876336,159675,8881,209,6656808059,2676,874245,14378508615,870357655,468101509,102515515,101,9297920,1225,0,101027563,103698583,372,0,69251996,2537,124120,4135926953,1072,16308,406814,4097183518,101,2535,1020781,2100,681077,868461205,5.009129900,5,92,969434768,0,4131527075,14504545929,1298,1701,6574809505,29635,2676,0,72044178,4590,66588706,0,144594,2773,0,7805155,15,0,19,972680502,0,4637,1901107017,1626637575,2439,0,194986,19,2100,15964,321084677,8,4080414287,7920399,1216512,1,429917,48.7,8322838710,178297,0,15,7314217551,199363,466400302,16,124,1349419607,6,7474181935,192,13872,4170148494,728,801,69728620,1404866
905,0,2027,356626107,0,14,635896,0,1474400378,64745734,0,0,611,490748966,101,131375,0,2257,161,90,9474235071,9152098041,100518,7330,208,7291231410,2602,943456,15080864283,929092501,493553372,110199263,88,11661312,1132,0,112623067,111872039,259,0,63606881,2150,151326,4506748495,1309,7532,421036,4541225784,88,2153,483159,57,717612,928764698,5.008997315,0,84,1073907473,0,4515330516,15204004008,175,1423,7309945214,25245,2602,0,64577339,4520,67196354,0,76804,1892,0,2809891,0,0,11,1073566945,0,1801,2036082416,1626637585,1568,0,194517,19.1,57,1401,360980397,9,4535764463,3035694,2772992,0,439367,47.7,9203765931,146200,0,7,7565055065,144756,490710440,2,581,1510264300,17,7557296362,176,9645,4559430126,1437,319,63656469,1552715
1455,0,1932,339313249,0,10,596862,0,1464675133,59326302,0,0,779,461666099,363,97919,0,7051,161,89,9300040351,8907785542,56831,7667,206,7179180277,2312,898089,14510557007,912410332,467361935,107387003,91,8634368,1226,0,107777949,107481745,257,0,61363145,2223,134590,4425919271,934,14590,408844,4392228260,91,2222,470414,184,688519,905977103,5.009283740,3,89,1060902050,0,4408331040,14713723140,296,1501,7150772439,34079,2312,0,59493630,3340,61910487,0,76736,2229,0,2540650,0,0,24,1046182314,0,6536,2030355845,1626637594,1901,0,195481,19.3,184,1335,340248518,8,4387251374,2709848,4358144,4,428109,47.9,8897654820,98735,0,2,7287199188,110000,462874341,1,12390,1467176392,104,7323530477,183,13131,4465455531,514,595,60771945,1508335
1664,0,1581,316978337,0,21,617900,0,1344803820,57408469,0,0,2226,418625234,949,322244,0,9352,181,119,8849978205,8616059523,165488,10850,223,6672829508,2514,927092,14267213510,880125250,445262958,101529448,100,9551872,1186,0,105031529,105911265,361,300,54868228,3535,132638,4211266223,1875,23011,422109,4289659553,102,3537,711171,783,708823,882011273,5.010058760,99,97,980874305,0,4241296831,14394687678,371,2703,6909058672,38501,2516,0,57260475,7240,59003241,0,206737,3382,0,4804511,2,0,40,1024937464,0,10415,1889832365,1626637603,3926,0,211025,19.5,783,13085,329470474,7,4279945566,4864068,12391424,8,441070,45.1,8593667539,342839,302,4,7199789813,265185,423430881,5,78048,1389431758,499,7144776201,196,10671,4320305824,1311,1903,55741619,1253871
1318,0,2314,339323457,0,30,634612,6,1429571459,60192372,0,0,1236,464899012,344,225966,0,5291,171,0,9109430210,8596309609,80064,9022,218,6987729771,3423,953701,14284120045,896641227,464381261,108976305,93,8720384,1097,0,108618423,105574737,369,16,56707364,2901,148233,4307401922,1616,13055,422035,4275484963,93,2902,683029,302,722091,899560080,5.009923572,1,89,1017569089,0,4294365483,14879700600,348,2048,7128293295,27488,3423,0,56915337,6150,61855083,0,139444,3216,0,5885129,4,1,32,1030093920,0,6200,1919048800,1626637613,2895,0,207654,19.7,302,16439,344768939,9,4465288271,6213512,9531392,0,443748,45.5,8944975230,227776,16,10,7176298623,145752,469555687,7,10939,1435000244,84,7342218152,199,14398,4352046287,910,735,56431568,1264003
1245,0,2235,344921756,0,20,635386,4,1451846056,58923412,0,0,1339,455756029,282,236884,0,5409,168,0,9276478974,8844698426,133007,8894,212,7036647760,3357,964505,14678560670,904364462,463208839,109586688,105,8273920,1120,0,112041308,105708670,362,100,55816733,2761,153185,4387475142,1558,13599,422400,4359962620,107,2764,754283,817,731537,892720916,5.015463998,15,98,1063452451,0,4393312844,15328866209,349,1922,7137990573,27936,3357,0,55448693,6260,59625992,0,135111,2946,0,5480417,2,1,4,1054515593,0,6084,1956672446,1626637623,2825,0,198295,19.6,818,11051,348169947,9,4479168988,5601469,7954432,1,444814,46.1,9083565040,243647,100,3,7268775151,226116,467531318,4,9606,1495036323,128,7295565976,190,11761,4441046774,835,758,56579624,1312652
1054,0,2119,351397370,0,36,629687,1,1458666528,61585050,0,0,1026,487563596,951,124145,0,3265,166,2,9215838183,8722381999,86837,8393,230,7052990822,3045,931841,14576927066,886403691,471406615,109692252,106,8265728,1040,0,109409600,106485433,319,185,64251029,2558,142232,4344772128,1572,10278,419133,4336467476,106,2558,579224,314,706869,887498848,5.009503152,28,96,1042600717,0,4328577628,14854836837,340,1775,6967847532,25541,3045,0,64561397,5430,62438835,0,77308,2124,0,3623041,4,0,3,1029576600,0,3364,1950618767,1626637633,2103,0,215298,19.7,314,25537,342596692,9,4445233205,3560609,11583488,2,437904,47.6,9052220230,130901,185,19,7273622990,113059,484017378,5,89070,1447935275,539,7215947416,209,15471,4375864032,603,668,64447290,1410128
1195,0,2058,351197657,0,15,637236,0,1430854895,66848839,0,0,1137,488949602,428,144970,0,2491,166,0,9270774673,9065092293,47779,8519,215,7055537355,3243,945777,15075747021,926978818,496936461,106580456,98,8138752,1016,0,107929073,110859392,344,518,68391242,2604,147247,4438253675,1338,10518,422528,4483326332,98,2603,763515,56,714237,929404833,5.009027082,112,92,1029324948,0,4459728272,14723864743,214,1793,7310248738,25048,3243,0,69918905,5360,69868920,0,98984,1935,0,3697625,0,6,0,1072888383,0,2369,2035605123,1626637643,2122,0,199128,19.7,56,7677,358444200,9,4431125926,3639099,5398528,3,439997,47.1,8926666981,151987,518,13,7552174303,67083,483802064,1,29725,1450851558,165,7600663244,182,9730,4556361603,667,923,68821198,1505371
855,0,2022,343811575,0,25,638983,0,1477086912,66122469,0,0,914,476802490,546,162093,0,2520,164,0,9195342692,8814137779,149041,8240,221,7108789230,3005,984996,14648822939,905734179,495581161,109480721,98,8491008,1011,0,109425528,105176892,337,270,62983579,2466,153035,4401259426,1539,9344,416404,4404758355,98,2465,516038,8,736896,902970211,5.009517629,55,95,1051448058,0,4373900041,14967679486,156,1654,7260792107,24936,3005,0,62559811,6190,68550046,0,125683,1947,0,3300609,0,2,0,1044500382,0,2517,1973585846,1626637652,1903,0,209907,19.8,8,13998,356985649,9,4503640113,3419872,9154560,1,434381,47.6,9051443466,152623,270,6,7273730433,192758,480567191,1,28338,1474192456,187,7297407507,199,13972,4450716204,762,661,62563764,1289148
1119,0,2037,337666289,0,8,631701,0,1445687953,62942874,0,0,1385,458642946,385,124300,0,3187,168,0,9089135160,8668931798,58176,9076,211,6979709907,2991,941090,14270557332,891867023,458714719,105729653,99,7966720,1032,0,108391675,103095317,347,232,60521323,2738,138599,4340924158,1645,11652,418538,4289269909,99,2734,701344,56,712052,886975275,5.009101458,43,91,1050301787,0,4307828712,15040493121,189,1916,7109001576,27814,2990,0,60152660,5580,64779835,0,80361,2700,0,4240775,0,0,121,1039480356,0,3201,1921111423,1626637662,2740,0,198720,19.9,56,1815,339501624,9,4482752194,4344571,9076736,0,437242,46.7,9042017167,127390,232,3,7181122151,76429,462026184,1,38551,1477136270,231,7234215174,185,10902,4365002445,899,827,60407594,1260292
